PWM,TempAmbiente,TempServo,Angle,Corrente,Tempo(mm:ss)
1322,28.11,40.14,32,0.94,02:30
1297,28.86,39.89,29,0.96,02:31
1272,28.36,40.39,27,0.36,02:31
1247,28.61,40.64,24,0.30,02:31
1222,28.36,39.64,22,0.46,02:31
1197,28.36,39.89,19,0.33,02:32
1173,28.36,40.64,17,0.38,02:32
1148,28.36,40.14,14,0.44,02:32
1123,28.36,40.64,12,0.15,02:32
1098,28.36,39.89,9,0.25,02:33
1073,28.36,41.15,7,0.25,02:33
1048,28.11,40.39,4,0.28,02:33
1023,28.11,39.64,2,0.30,02:33
1002,28.36,41.65,0,0.28,02:34
1027,28.36,40.14,2,2.15,02:34
1051,28.61,39.64,5,1.68,02:34
1076,28.36,39.64,7,2.10,02:34
1101,28.61,39.89,10,1.15,02:35
1126,28.36,41.65,12,0.59,02:35
1151,28.61,39.64,15,0.67,02:35
1176,28.11,38.64,17,1.47,02:35
1201,28.36,40.14,20,1.65,02:36
1226,28.36,40.14,22,1.28,02:36
1251,28.36,40.39,25,1.04,02:36
1275,28.36,39.89,27,0.65,02:36
1300,28.11,39.89,30,1.07,02:37
1325,28.11,38.89,32,1.57,02:37
1350,28.36,40.64,35,1.68,02:37
1375,28.61,39.64,37,1.04,02:37
1400,28.11,41.40,40,0.57,02:38
1425,28.36,40.39,42,0.07,02:38
1450,28.36,39.64,45,0.73,02:38
1475,28.11,39.89,47,1.68,02:38
1500,28.36,41.15,50,0.15,02:39
1499,28.61,40.90,49,0.28,02:39
1475,28.36,40.64,47,0.28,02:39
1450,28.36,40.39,45,0.20,02:39
1425,28.36,40.14,42,0.30,02:40
1400,28.11,39.89,40,0.25,02:40
1375,28.36,39.89,37,0.17,02:40
1350,28.36,40.39,35,0.25,02:40
1325,28.11,39.89,32,0.41,02:41
1300,28.36,39.89,30,0.62,02:41
1275,28.61,40.14,27,0.75,02:41
1250,28.11,40.14,25,0.25,02:41
1225,28.11,39.89,22,1.04,02:42
1201,28.36,40.39,20,0.49,02:42
1176,28.11,40.14,17,1.15,02:42
1151,28.11,40.39,15,0.96,02:42
1126,28.36,41.15,12,1.02,02:43
1101,28.36,41.15,10,1.04,02:43
1076,28.36,40.64,7,0.75,02:43
1051,28.11,40.39,5,0.99,02:43
1026,28.36,40.39,2,1.12,02:44
1001,28.36,40.90,0,0.75,02:44
1023,28.61,40.64,2,0.89,02:44
1048,28.36,40.90,4,0.59,02:44
1073,28.11,39.89,7,1.68,02:45
