Inicializando sensores...
Novo Neutro - Servo posicionado para PWM: 1370 - Ângulo: 37
Teste interrompido. Servo na posição mínima.
Teste iniciado.
1480,32.50,48,3107.00,01:15
1510,32.50,51,3137.00,01:15
1540,32.25,54,3142.00,01:15
1570,32.50,57,3136.00,01:16
1600,32.50,60,3127.00,01:16
1580,32.25,58,3472.00,01:16
1550,32.50,55,3923.00,01:16
1530,32.75,53,3184.00,01:17
1500,32.75,50,3212.00,01:17
1480,32.50,48,3217.00,01:17
1450,32.75,45,3605.00,01:17
1430,32.75,43,3600.00,01:18
1400,32.75,40,3398.00,01:18
1380,32.75,38,3226.00,01:18
1350,32.25,35,3150.00,01:18
1330,32.75,33,3781.00,01:19
1300,32.75,30,3314.00,01:19
1280,32.50,28,3206.00,01:19
1250,33.00,25,3251.00,01:19
1230,32.75,23,3344.00,01:20
1200,32.50,20,3674.00,01:20
1180,32.75,18,3281.00,01:20
1150,32.25,15,3233.00,01:20
1150,32.75,15,3133.00,01:21
1180,32.75,18,3335.00,01:21
1200,32.75,20,3140.00,01:21
1230,32.75,23,3150.00,01:21
1250,32.25,25,3248.00,01:22
1280,32.50,28,3129.00,01:22
1300,32.25,30,3199.00,01:22
1330,32.50,33,3391.00,01:22
1350,32.75,35,3133.00,01:23
1380,33.00,38,3169.00,01:23
1400,33.00,40,3149.00,01:23
1430,32.75,43,3169.00,01:23
1450,33.00,45,3312.00,01:24
1480,33.00,48,3168.00,01:24
1500,33.00,50,3115.00,01:24
1530,32.50,53,3343.00,01:24
1550,33.00,55,3137.00,01:25
1580,32.50,58,3123.00,01:25
1600,32.50,60,3141.00,01:25
1570,33.00,57,3193.00,01:25
1550,33.00,55,3147.00,01:26
1520,33.25,52,3204.00,01:26
1500,33.25,50,3248.00,01:26
1470,32.75,47,3566.00,01:26
1450,33.00,45,3455.00,01:27
1420,32.75,42,3211.00,01:27
1400,33.00,40,3233.00,01:27
1370,33.00,37,3563.00,01:27
1350,33.00,35,3775.00,01:28
1320,32.50,32,3085.00,01:28
1290,33.00,29,3190.00,01:28
1270,33.25,27,3254.00,01:28
1240,33.00,24,3489.00,01:29
1220,32.75,22,3663.00,01:29
1190,33.00,19,3632.00,01:29
1170,32.50,17,3235.00,01:29
1140,33.00,14,3398.00,01:30
1160,33.00,16,3150.00,01:30
