sep=,
Make,Model,Modulation,Weight (g),L (mm),C (mm),A (mm),TensãoTorque1,Torque1 (kgf.cm),TensãoTorque2,Torque2 (kgf.cm),TensãoTorque3,Torque3 (kgf.cm),TensãoTorque4,Torque4 (kgf.cm),TensãoTorque5,Torque5 (kgf.cm),TensãoSpeed1,Speed1 (°/s),TensãoSpeed2,Speed2 (°/s),TensãoSpeed3,Speed3 (°/s),TensãoSpeed4,Speed4 (°/s),TensãoSpeed5,Speed5 (°/s),Motor Type,Rotation,Gear Material,Typical Price
Multiplex,MS-X4*,-,24.10,29.97,16.00,30.99,4.8,2.90,,,,,,,,,4.8,260.87,,,,,,,,,-,-,-,$25.19
Multiplex,MS-X6*,-,43.94,40.64,20.32,38.10,4.8,2.70,,,,,,,,,4.8,285.71,,,,,,,,,-,-,-,$16.98
Multiplex,Nano Pro MG,Analog,,23.62,11.68,23.88,6.0,5.08,,,,,,,,,6.0,600.00,,,,,,,,,Brushed,-,Metal,$31.00
Multiplex,Nano S*,Analog,8.22,22.61,11.43,23.88,4.8,1.08,6.0,1.30,,,,,,,4.8,352.94,6.0,428.57,,,,,,,3-pole,-,Plastic,$29.65
Multiplex,Polo Digi 4*,-,21.83,30.48,27.94,12.70,4.8,2.81,6.0,3.53,,,,,,,4.8,600.00,6.0,750.00,,,,,,,3-pole,Dual Bearings,Metal,$69.99
Multiplex,Power BB FET*,-,81.93,45.72,22.86,45.72,4.8,7.42,,,,,,,,,4.8,230.77,,,,,,,,,-,Single Bearing,-,$105.61
Multiplex,Power Digi*,Digital,81.93,46.99,23.11,46.99,4.8,7.13,6.0,8.86,,,,,,,4.8,206.90,6.0,260.87,,,,,,,3-pole,Dual Bearings,Metal,$109.37
Multiplex,Power Speed BB*,Digital,81.93,46.99,23.11,46.99,4.8,6.12,6.0,7.63,,,,,,,4.8,206.90,6.0,250.00,,,,,,,-,-,-,$111.51
Multiplex,Profi BB FET*,-,47.91,35.56,19.05,38.10,4.8,4.61,,,,,,,,,4.8,352.94,,,,,,,,,-,Single Bearing,-,$57.61
Multiplex,Profi Digi*,Digital,47.91,36.07,19.05,39.12,4.8,4.46,6.0,5.62,,,,,,,4.8,400.00,6.0,500.00,,,,,,,3-pole,Dual Bearings,Metal,$82.95
